摩斯漢堡,B1,A1,C5,台北羅斯福路三段233號
頂呱呱,B1,A1,C5,台北市中正區羅斯福路四段134號
麥當勞,B1,A1,C5,大安區羅斯福路二段 45 號
祥滿速食餐坊,B1,A2,C5,台北市羅斯福路四段92號1樓53、56攤位
古亭園自助餐,B1,A2,C5,台北市中正區羅斯福路二段66巷2號
山東大史餃子館,B1,A3,C5,台北中正區羅斯福路四段24巷11號
蕭家豬腳飯爌肉飯,B1,A3,C5,台北中正區羅斯福路四段90巷6號
台大牛莊,B1,A3,C5,中正區羅斯福路三段286巷4弄4號
Gugo Kitchen義國蔬食,B3,A4,C5,台北市羅斯福路四段85號
義饗食堂,B4,A4,C5,台北市大安區羅斯福路四段83號2樓
J-House美式餐廳,B3,A5,C5,台北中正區羅斯福路四段78巷1弄3號
龐德羅莎,B4,A5,C5,台北市羅斯福路四段85號2樓
Burger talks,B2,A5,C5,台北市中正區羅斯福路四段124號
得記港式,B2,A6,C5,台北中正區羅斯福路四段52巷16弄4號
鳳城廣東燒臘,B1,A6,C5,中正區羅斯福路三段312號
竹丼飯屋,B1,A7,C5,台北市羅斯福路四段92號
CoCo壹番屋,B3,A7,C5,台北 大安區羅斯福路四段1號
季丼屋,B1,A7,C5,台北市羅斯福路四段150號
銀咖哩,B2,A7,C5,中正區羅斯福路三段276號
泰皇99泰國雲南料理,B3,A8,C5,台北中正區羅斯福路四段156號
泰味鮮 泰式主題餐廳,B2,A8,C5,台北中正區羅斯福路三段316巷8弄3-4
Lacuz 泰食-樂 餐廳,B4,A8,C5,台北市大安區羅斯福路四段85號2樓
日船章魚小丸子,B1,A9,C5,台北羅斯福路四段90巷6號100
藍家割包,B1,A9,C5,台北大安區羅斯福路三段316巷8弄3號
麻糬三角紅豆餅,B1,A10,C5,台北中正區羅斯福路4段24巷11號106
小g脆皮雞蛋糕,B1,A10,C5,台北市羅斯福路四段136號
東南亞冰店,B1,A11,C5,台北中正區羅斯福路四段136巷12號
陳三鼎黑糖粉圓鮮奶專賣店,B1,A12,C5,台北羅斯福路三段316巷8弄口
珍煮丹,B1,A12,C5,台北中正區羅斯福路一段12號100
憶馬當鮮馬來西亞風味料理,B1,A9,C3,台北市大安區和平東路二段118巷61號
馬祖麵館,B1,A3,C3,台北市和平東路二段118巷49號1樓
倆倆號,B1,A9,C3,台北市大安區辛亥路二段221號1樓
牛二哥小吃店,B1,A3,C3,台北市大安區復興南路二段340巷32號
三隻貓頭鷹 3owls c＠fe,B3,A5,C3,台北市大安區和平東路二段96巷15弄38號
惡 燒肉便當專賣店,B1,A7,C3,台北市大安區和平東路二段311巷19號
找碗,B1,A7,C3,台北市大安區辛亥路二段199號
親來食堂,B1,A3,C3,台北市和平東路二段118巷52弄14號
春山茶水鋪,B1,A12,C3,台北市大安區復興南路二段323號
邦食堂,B1,A8,C3,台北市大安區和平東路二段96巷17弄28號
滇味小廚,B1,A8,C3,台北市大安區復興南路二段 340 巷 5 號
空杯國際,B1,A12,C3,台北市大安區和平東路二段118巷52弄1號
泰大爺快餐店,B1,A6,C3,台北市和平東路二段118巷50號
磚塊廚房,B2,A4,C3,台北市辛亥路2段169號
達美樂,B3,A1,C3,台北市辛亥路一段56號
拿坡里披薩炸雞,B3,A1,C3,台北市和平東路二段66號
老圓環,B1,A2,C3,台北市汀洲路2段131號
全國素食,B1,A2,C3,台北市大安區復興南路二段314號
Barkers美式餐廳,B2,A5,C3,台北市大安區和平東路二段118巷41號
發現義大利麵,B1,A4,C3,台北市和平東路二段118巷35號
微笑先生 Mr.Smile,B2,A4,C3,台北市大安區和平東路二段118巷36號
笑嘻嘻港式現炒飯麵,B1,A6,C3,台北市和平東路二段118巷59號
瑞榮燒臘,B1,A6,C3,臺北市大安區復興南路二段346號
Stoppage Time 補時,B1,A10,C3,台北市大安區和平東路二段96巷15弄30號
嗜甜點,B1,A10,C3,台北市大安區和平東路二段118巷52弄16號
何媽媽手作蒟蒻,B1,A12,C3,台北市大安區臨江街30號
一芳水果茶,B1,A12,C3,台北市和平東路二段118巷62號
大方冰品,B1,A11,C3,台北市大安區和平東路三段228巷27號
Beans Lab 豆系研究室,B1,A13,C3,台北市大安區辛亥路二段171巷6弄6號
Bel?m 貝倫烘焙餐坊,B3,A10,C3,台北市和平東路二段118巷37號
公館水煎包,B1,A9,C4,台北市大安區羅斯福路四段123巷1號
阿水茶舖,B1,A12,C4,台科大第三餐廳
天津蔥抓餅,B1,A9,C4,台科大第三餐廳
藝素佳素食,B1,A2,C4,台科大第三餐廳
日和日式手作料理,B1,A7,C4,台科大第三餐廳
帝一味自助餐,B1,A2,C4,台科大第三餐廳
八方雲集,B1,A3,C4,台科大第三餐廳
台科大後餐鹹酥雞,B1,A9,C4,台北市大安區基隆路四段41巷68弄4號號
台科大後餐炒飯炒麵,B1,A3,C4,台北市台北市大安區基隆路四段43號
摩斯漢堡台科大店,B1,A1,C4,台科大第一餐廳
福客鐵板料李,B1,A3,C4,台科大第一餐廳
地中海私房料理,B1,A4,C4,台科大第一餐廳
赤糰飯糰,B1,A7,C4,台科大校內（第一餐廳前）
方蘭路真善美牛肉麵,B1,A3,C4,台北市大安區芳蘭路68號
Living One,B3,A4,C4,台大明達館
5 Senses Cafe,B1,A5,C4,台北市大安區基隆路三段85號
生活倉廚,B3,A5,C4,台北市大安區基隆路三段85號
手作豚亭日式豬排專門店,B2,A7,C4,台北市台北市大安區基隆路三段85號
咕嚕薯薯,B2,A5,C4,台北市台北市大安區基隆路三段85號
紅蔥餐館台科店,B2,A5,C4,台北市大安區基隆路三段137號
50嵐台大店,B1,A12,C2,台北市大安區羅斯福路三段345號
一芳水果茶台北公館店,B1,A12,C2,台北市大安區羅斯福路三段345號
鼎太極麻辣鍋,B3,A7,C2,台北市大安區新生南路三段104號
路易莎咖啡台大店,B1,A13,C2,台北市大安區新生南路三段100號
銅樂咖啡,B2,A13,C2,台北市大安區新生南路三段96-1號
肯德基KFC-台北台大餐廳,B1,A1,C2,台北市大安區新生南路三段96-1號
ImPerfect Cafe,B2,A13,C2,台北市大安區新生南路三段96-5號
爭鮮迴轉壽司,B2,A7,C2,台北市大安區新生南路三段88-4號
麥當勞（新生南路）,B1,A1,C2,台北市大安區新生南路三段88-2號
西雅圖極品咖啡,B1,A13,C2,台北市大安區新生南路三段88號
靈感咖啡,B1,A13,C2,台北市大安區新生南路三段84-6號3樓
